name,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
goe460.dat,-1.5,-0.1327,0.00647,0.00158,-0.0077,0.4924,0.3656
df102.dat,-1.5,0.0908,0.00536,0.0007,-0.05,0.596,0.235
dormoy.dat,-1.5,0.2888,0.00763,0.00105,-0.0571,0.1281,0.1479
e562.dat,-1.5,0.4276,0.00594,0.00102,-0.1428,0.4991,0.2637
mh110.dat,-1.5,-0.2242,0.00631,0.00083,0.0344,0.3623,0.2136
e433.dat,-1.5,0.4514,0.00495,0.00088,-0.138,0.698,0.2987
goe652.dat,-1.5,0.9936,0.00702,0.0022,-0.2739,0.5039,0.1189
raf26.dat,-1.5,0.127,0.00551,0.00054,-0.0703,0.7127,0.0046
goe525.dat,-1.5,,,,,,
psu-90-125wl.dat,-1.5,0.1802,0.0049,0.00067,-0.077,0.6711,0.3025
clarkysm.dat,-1.5,0.2406,0.00585,0.00085,-0.0831,0.6022,0.1061
sc1094r8.dat,-1.5,0.0148,0.00999,0.00447,-0.0233,0.369,0.0014
n9.dat,-1.5,0.2944,0.00591,0.00064,-0.0649,0.5179,0.1064
goe226.dat,-1.5,,,,,,
npl9660.dat,-1.5,-0.0925,0.00688,0.00125,-0.007,0.5668,0.0094
pmc19sm.dat,-1.5,-0.0993,0.00696,0.0012,0.009,0.4147,0.018
goe199.dat,-1.5,,,,,,
as5046.dat,-1.5,0.0964,0.00439,0.00082,-0.0564,0.6301,0.5971
s1014.dat,-1.5,-0.1783,0.00403,0.00094,0.0024,0.7366,0.6254
n64015a.dat,-1.5,-0.1733,0.00461,0.00073,0.0013,0.6159,0.5261
whitcomb.dat,-1.5,0.2884,0.005,0.00104,-0.134,0.4545,0.6153
s2050.dat,-1.5,0.0843,0.00479,0.00051,-0.0614,0.6673,0.2837
ah85l120.dat,-1.5,-0.161,0.00339,0.00053,-0.0011,0.7882,0.6812
arad6.dat,-1.5,0.4485,0.00599,0.0014,-0.1356,0.7387,0.0119
e1214.dat,-1.5,0.0191,0.00685,0.00142,-0.0226,0.3352,0.2876
ag27.dat,-1.5,0.1439,0.00531,0.00052,-0.0648,0.6557,0.0517
